name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,10678,6085746799,,-84.1034287,35.9183962,,,,,
,10679,12905986992,,-84.0914256,35.9192316,,,,,
,10680,3641349548,signal,-84.0916677,35.9197663,,,,,
,10681,10233600347,,-84.0986811,35.9095194,,,,,
,10682,12488251820,,-84.0958188,35.9100270,,,,,
,10683,9492641591,,-84.1018673,35.9135286,,,,,
,10684,9673202977,,-84.1017226,35.9135390,,,,,
,10685,7561682679,,-84.1005669,35.9204232,,,,,
,10686,9596151770,,-84.0685218,35.9221997,,,,,
,10687,11876583620,,-84.0590072,35.9241223,,,,,
,10688,7561720694,,-84.1006831,35.9205181,,,,,
,10689,7561682678,,-84.0996685,35.9183121,,,,,
,10690,203106187,signal,-83.9848144,35.9411565,,,,,
,10691,1993059042,,-83.9965887,35.9192013,,,,,
,10692,202825066,,-84.0313337,35.8948376,,,,,
,10693,4525340173,,-83.9959448,35.9229479,,,,,
,10694,4525340172,,-83.9959341,35.9228350,,,,,
,10695,9926323153,,-84.0312442,35.8949002,,,,,
,10696,5824169334,,-83.9965019,35.9201800,,,,,
,10697,1993059050,,-83.9964343,35.9205434,,,,,
,10698,1993059053,,-83.9962750,35.9212761,,,,,
,10699,5824169335,,-83.9959920,35.9225133,,,,,
,10700,6772343763,,-83.9964893,35.9182759,,,,,
,10701,10179914676,,-83.9965652,35.9187373,,,,,
,10702,1993059036,,-83.9965527,35.9186553,,,,,
,10703,1993059034,,-83.9965089,35.9183614,,,,,
,10704,1993059039,,-83.9965861,35.9188741,,,,,
,10705,203068137,signal,-84.0608508,35.8652115,,,,,
,10706,203089505,,-83.9959368,35.9227548,,,,,
,10707,9322574401,,-83.9959590,35.9226458,,,,,
,10708,7086412211,,-84.0016849,35.9330792,,,,,
,10709,9559452900,,-84.0173275,35.9328442,,,,,
,10710,202848882,signal,-84.0175688,35.9325112,,,,,
,10711,203072822,signal,-84.0107834,35.9420831,,,,,
,10712,2488167539,,-84.0113286,35.9417256,,,,,
,10713,2488167525,,-84.0134522,35.9401157,,,,,
,10714,9659226138,,-84.0107328,35.9417190,,,,,
,10715,7713857381,,-83.9758683,35.9601563,,,,,
,10716,7713876887,,-83.9758808,35.9600922,,,,,
,10717,202830345,,-83.9882930,35.9546375,,,,,
,10718,202888659,signal,-84.0284626,35.9448170,,,,,
,10719,1253968854,,-84.0342012,35.9418071,,,,,
,10720,202888679,signal,-84.0371531,35.9409320,,,,,
,10721,12491876459,,-84.0317175,35.9431681,,,,,
,10722,9325910551,,-84.0249430,35.9535317,,,,,
,10723,1991545211,signal,-84.0127777,35.9451548,,,,,
,10724,202969330,,-84.0114841,35.9437745,,,,,
,10725,5710570283,,-84.0141210,35.9511467,,,,,
,10726,11062020815,,-83.9828215,35.9412488,,,,,
,10727,2788760234,,-83.9076969,35.9703856,,,,,
,10728,9328378801,,-83.9049259,35.9797378,,,,,
,10729,8853805167,,-83.8938699,35.9870041,,,,,
,10730,202861226,signal,-83.9105463,35.9789936,,,,,
,10731,202795285,,-83.9437325,35.9650145,,,,,
,10732,2795636191,,-83.9443703,35.9657462,,,,,
,10733,8804600371,,-83.9407902,35.9666069,,,,,
,10734,203034828,,-83.9453734,35.9743939,,,,,
,10735,203068454,,-83.9477013,35.9750212,,,,,
,10736,202856071,,-83.9525582,35.9742718,,,,,
,10737,202856046,,-83.9450548,35.9804849,,,,,
,10738,202975704,,-83.9506642,35.9800518,,,,,
,10739,202830356,,-83.9529914,35.9832561,,,,,
,10740,202830359,,-83.9542225,35.9820956,,,,,
,10741,202838987,,-83.9579877,35.9858950,,,,,
,10742,202922811,,-83.9609058,35.9817106,,,,,
,10743,8473838070,,-83.9578563,35.9872380,,,,,
,10744,2739949140,,-83.9629159,35.9833534,,,,,
,10745,7029604200,,-83.9638119,35.9753967,,,,,
,10746,202865261,,-83.9668961,35.9839427,,,,,
,10747,11675350084,,-83.9390186,35.9673530,,,,,
,10748,9675345455,,-83.9108749,35.9425325,,,,,
,10749,9380126595,,-83.9115501,35.9443515,,,,,
,10750,6439317712,,-83.9255740,35.9539642,,,,,
,10751,202865353,,-83.9306100,35.9769375,,,,,
,10752,9924618156,,-83.9725467,35.9624305,,,,,
,10753,9898661941,,-83.9898034,35.9617347,,,,,
,10754,9848874916,,-83.9316474,35.9568179,,,,,
,10755,202881711,signal,-83.9343804,35.9600616,,,,,
,10756,202857569,signal,-83.9312623,35.9590160,,,,,
,10757,8804600384,,-83.9393275,35.9664988,,,,,
,10758,202818682,signal,-83.9648346,35.9527970,,,,,
,10759,202939542,,-83.9921161,35.9382224,,,,,
,10760,9156584112,,-83.9478691,35.9936323,,,,,
,10761,9156632322,signal,-83.9479279,35.9937158,,,,,
,10762,9156632321,signal,-83.9481012,35.9939675,,,,,
,10763,9297609803,,-84.0254137,36.0071176,,,,,
,10764,1106834158,signal,-84.0235231,36.0070593,,,,,
,10765,8190824574,,-84.0065515,35.9927581,,,,,
,10766,203016781,signal,-83.9998305,35.9904974,,,,,
,10767,202889419,,-84.0075125,35.9930361,,,,,
,10768,9297612353,,-84.0282286,36.0068166,,,,,
,10769,202942605,,-84.0291517,36.0060217,,,,,
,10770,3451407220,,-84.0254219,36.0069608,,,,,
,10771,3451407200,signal,-84.0235007,36.0069141,,,,,
,10772,2515615052,,-83.9157410,35.9791292,,,,,
,10773,202819180,,-83.9236896,35.9908541,,,,,
,10774,202877988,,-83.9235750,35.9919268,,,,,
,10775,7649966073,signal,-83.9241553,35.9972284,,,,,
,10776,202865788,signal,-83.9246493,35.9983725,,,,,
,10777,202819176,,-83.9246060,35.9909820,,,,,
,10778,10904118511,,-83.9248225,35.9907859,,,,,
,10779,6954442080,,-83.9216762,35.9938114,,,,,
,10780,202941943,,-83.9323324,35.9927163,,,,,
,10781,203092221,,-83.9341134,35.9941313,,,,,
,10782,202921625,,-83.9306211,35.9941573,,,,,
,10783,9797452837,,-83.9248503,35.9969589,,,,,
,10784,202980926,,-83.9361626,35.9961408,,,,,
,10785,202980912,,-83.9366561,35.9981372,,,,,
,10786,9590249324,,-83.9257863,36.0011752,,,,,
,10787,202865807,signal,-83.9264476,36.0027849,,,,,
,10788,202865800,,-83.9258970,36.0014458,,,,,
,10789,9590249335,,-83.9298184,36.0318707,,,,,
,10790,11085398579,,-83.9303266,36.0327370,,,,,
,10791,9590249340,,-83.9300734,36.0315351,,,,,
,10792,3328135582,,-83.9308703,36.0315618,,,,,
,10793,202894158,,-83.9321707,36.0321210,,,,,
,10794,355506868,,-83.9328216,36.0325483,,,,,
,10795,202906617,,-83.9319680,36.0320105,,,,,
,10796,202865958,,-83.9265218,36.0491716,,,,,
,10797,203003919,,-83.9150020,35.9929291,,,,,
